Parent 1 Highest Grade,Race,Sex,Self Esteem Score,AFQT Percentile Score,Type of Residence 1983,Average Drinks 2008,Highest Grade,Fam Size 1979,Foreign Language,Library Card,Parent Cohabitation,Number Siblings,First Marijuana Use,Income 2018
12,3,2,27,33598,11,-5,12,4,0,1,-4,4,19,-5
10,2,1,24,19981,17,-5,16,6,0,1,-4,4,-5,-5
10,2,2,23,18862,17,-5,14,6,0,1,-4,4,-5,-5
13,3,2,-3,-5,11,-5,14,2,1,0,-4,1,-4,-5
10,3,1,24,82207,11,3,16,3,1,1,-4,0,16,145000
9,3,2,9,1230,11,-4,9,1,1,1,-4,9,-4,0
9,3,1,19,71044,11,-5,9,4,0,1,-4,2,-5,-5
12,1,2,20,47279,-4,1,13,5,1,1,-4,1,-4,33000
14,3,2,-5,-4,11,-4,14,1,0,1,1,2,14,-1
13,3,2,23,82495,6,-5,16,5,0,1,1,2,-5,-5
11,3,1,26,51881,-4,-5,12,3,0,1,-4,2,-5,-5
12,3,1,24,77068,17,1,16,4,0,1,-4,2,-4,-5
12,3,2,27,30455,11,2,12,2,1,1,-4,2,16,5200
14,3,2,30,88334,11,-5,16,3,0,1,1,4,14,96000
12,3,1,-5,-5,-5,-4,12,3,1,1,-4,1,-5,50000
8,3,1,-5,-5,-5,-5,13,3,1,1,-4,1,-5,0
12,3,2,20,49623,11,2,12,5,0,1,-4,3,17,-5
12,3,2,23,59078,-4,2,16,5,0,1,-4,3,17,16000
8,3,1,19,77155,-4,3,12,5,0,1,-4,3,13,78000
13,3,2,19,81515,11,2,18,5,0,1,-4,2,17,185000
7,3,1,22,58788,-4,-5,15,5,0,1,-4,2,19,-5
11,3,2,19,11983,-4,3,10,3,1,1,-4,1,30,0
14,3,1,24,59286,-4,2,16,1,1,1,1,2,-4,130000
10,3,2,27,73636,3,-4,18,4,1,1,-4,2,23,200000
9,3,1,29,89270,3,1,19,4,1,1,-4,2,17,396970
9,3,2,23,80480,-4,-4,16,4,0,1,-4,1,18,72000
14,3,1,23,45527,-4,-4,16,4,0,1,-4,1,-4,119843
8,3,1,23,68738,-4,-5,16,4,0,1,-4,1,-5,-5
13,3,1,27,87917,11,1,18,4,0,1,-4,1,-4,396970
9,3,1,20,95117,-4,-5,18,4,0,1,-4,1,16,190000
11,3,2,18,17107,-4,3,12,5,0,1,-4,3,21,17000
9,3,1,26,64239,-4,2,18,4,0,1,-4,1,-4,-1
12,3,1,18,19225,-4,-4,12,3,0,1,-4,2,-4,-5
12,3,2,15,27551,11,-4,12,2,0,1,1,2,15,0
14,3,1,30,86603,-4,-4,16,4,0,1,-4,1,16,0
12,3,1,27,73184,11,2,14,1,0,1,1,1,15,12000
13,1,2,21,13970,17,-5,13,2,1,0,-4,1,-4,-5
11,1,2,24,17136,11,-5,12,2,1,0,0,5,13,32000
12,1,2,23,5082,11,-4,12,3,1,1,1,4,20,0
10,3,1,23,26440,11,-5,10,5,0,1,-4,2,-5,-5
9,3,1,19,25802,-4,3,12,5,0,0,-4,2,15,-5
11,3,2,20,10352,11,-5,12,2,0,1,1,3,16,0
11,3,1,29,49080,17,-5,11,2,0,1,-4,2,18,-5
10,3,1,15,59040,3,2,16,5,1,1,-4,2,16,72000
8,3,2,24,74988,3,1,16,5,0,1,-4,2,18,35000
12,3,1,26,57814,11,3,12,6,0,1,-4,3,18,60000
10,3,1,21,99460,3,3,16,6,0,1,-4,3,14,-5
9,3,1,18,79883,-4,5,16,6,0,1,-4,3,15,155000
12,3,1,17,66226,-4,-5,16,3,1,1,-4,2,-5,-5
11,3,2,21,-5,-5,-4,16,5,0,1,-4,2,-1,-5
10,3,1,22,-5,-5,-5,10,5,0,1,-4,2,-5,-5
15,3,1,30,81447,11,1,16,2,0,1,-4,2,16,396970
13,3,2,24,60012,-4,2,20,4,0,1,-4,1,18,0
11,3,2,25,89381,3,-4,20,4,0,1,-4,1,14,145000
6,2,2,16,5315,-4,-4,12,11,0,1,-4,6,15,0
9,2,1,16,787,-4,-4,9,11,0,1,-4,6,-4,0
8,2,1,19,9190,11,-4,12,11,0,1,-4,6,18,60000
10,2,2,25,13326,11,-4,12,11,0,1,-4,6,13,15100
9,1,1,19,2604,-4,-5,12,4,1,1,-4,3,-4,-5
9,1,1,-5,25781,11,-5,13,4,1,1,-4,3,-5,-5
9,2,2,17,6599,11,-4,12,3,0,1,0,4,18,36000
10,1,2,20,2739,11,-4,9,4,1,1,-4,4,-4,0
9,3,2,23,52042,11,-4,12,3,0,1,-4,1,14,8064
7,3,1,25,34084,-4,2,15,4,1,1,-4,2,16,80000
-3,3,2,23,36443,17,2,12,5,1,1,-4,3,-4,75000
11,3,1,18,55780,11,-4,14,5,0,1,-4,3,-4,28000
9,3,1,20,31472,17,6,12,5,0,0,-4,3,16,60000
10,3,1,21,35461,11,-4,12,3,0,0,-4,7,-4,90000
9,3,1,27,61313,17,-4,15,6,0,1,-4,3,14,0
10,3,2,30,71673,-4,-4,13,4,0,1,-4,1,18,56000
12,3,2,26,64751,11,-4,12,1,0,1,0,4,14,0
-3,3,2,27,-5,-5,-5,12,8,0,1,-4,6,-5,-5
10,3,2,17,13294,11,2,10,1,0,1,1,7,-4,-5
10,3,2,25,50483,11,2,12,8,0,1,-4,6,13,48428
8,3,1,22,22027,-4,-5,12,8,0,1,-4,6,-5,-5
12,3,2,27,30481,11,3,12,1,0,0,1,2,17,102000
12,3,1,25,62957,11,3,12,1,0,1,1,3,17,396970
12,3,2,16,73828,11,7,12,3,0,1,1,4,17,0
10,3,2,19,81929,11,1,14,5,0,0,-4,3,20,44800
8,3,1,18,82913,3,-5,17,5,0,0,-4,3,16,-5
13,3,1,25,52544,11,-4,20,6,0,1,-4,4,-4,90000
9,3,1,27,8261,-4,5,14,6,0,1,-4,4,16,0
8,3,2,18,45311,11,2,17,6,0,1,-4,4,-4,0
12,3,2,-3,-5,-5,1,12,3,0,1,-4,1,-4,6000
9,3,1,-5,-4,17,1,13,4,0,1,-4,2,-4,30000
8,3,2,-5,-4,11,1,12,4,0,0,-4,2,-4,10000
8,3,1,20,34745,11,-4,11,4,0,1,-4,2,16,30000
11,3,2,28,94821,11,2,12,2,1,1,1,4,22,45000
10,3,2,19,46148,11,2,12,7,0,-3,-4,4,16,10000
11,3,2,21,56308,11,2,13,5,0,1,-4,2,14,2000
8,3,1,21,58214,17,6,12,5,0,1,-4,2,16,14000
14,3,2,25,76189,11,-4,14,2,0,1,1,3,-4,0
12,3,1,23,56348,11,6,12,2,0,1,1,2,-4,35000
11,3,1,28,83227,11,2,16,4,0,1,-4,3,-4,84000
9,3,1,30,73360,-4,2,16,4,0,1,-4,3,-4,100000
12,3,2,28,33669,11,-5,12,5,0,1,-4,4,-4,-5
10,3,1,29,49339,11,-5,12,5,0,1,-4,4,-5,-5
12,3,2,26,93397,17,-5,16,1,1,1,1,2,16,-5
10,3,2,25,96501,11,-5,16,4,0,0,-4,0,19,10000
10,3,1,11,-5,-5,-5,12,3,1,1,-4,2,-5,-5
12,3,1,22,23365,11,-5,12,4,1,1,-4,2,-5,0
12,3,1,27,49643,11,-4,14,3,1,0,-4,4,25,0
13,3,1,30,83698,17,2,16,2,1,1,-4,0,15,396970
11,3,1,20,77208,-4,-5,12,5,0,1,-4,3,18,-5
9,3,2,25,53793,-4,-5,20,5,0,1,-4,3,-4,-5
16,3,2,26,94116,11,1,16,4,0,1,-4,6,18,0
13,3,1,30,64372,11,-4,15,3,0,1,-4,6,25,50000
12,3,1,24,88343,-4,2,13,5,0,1,-4,6,16,0
9,3,2,30,72963,-4,2,14,5,0,1,-4,6,-2,0
11,3,2,21,48015,11,-5,12,3,0,1,-4,1,16,-5
12,3,1,29,32567,11,4,12,5,0,1,-4,2,25,28000
12,3,2,25,51427,-4,-5,13,5,0,1,-4,2,14,-5
10,3,1,21,59272,-4,-4,12,4,0,0,-4,1,18,-5
13,3,2,27,89706,11,-5,18,4,0,1,-4,2,15,-5
11,3,1,22,72769,3,2,18,6,0,1,-4,3,18,100000
9,3,2,20,85400,3,1,16,6,0,1,-4,3,18,50000
11,1,1,21,15136,-4,5,12,9,1,1,-4,6,16,84500
12,1,1,26,44708,11,-4,12,9,1,1,-4,5,15,130000
11,1,2,23,15448,11,3,12,9,1,1,-4,5,16,56000
8,1,2,20,62147,-4,6,16,7,1,1,-4,5,18,75000
12,3,2,22,22699,11,-4,12,6,0,1,-4,3,20,-5
11,3,2,21,15312,-4,5,12,6,0,1,-4,4,16,-5
10,3,2,26,28861,-4,3,12,6,0,1,-4,4,12,0
11,1,2,18,11136,11,-4,10,4,1,1,-4,11,18,-2
12,2,1,25,42445,17,3,12,4,0,1,-4,1,16,0
15,3,2,27,92223,11,-4,20,4,0,1,-4,2,-4,85000
12,3,2,20,91927,11,1,13,4,0,1,-4,2,-4,45000
12,3,2,24,62191,11,1,12,5,0,0,-4,3,-5,22000
9,3,1,21,29995,2,-5,10,3,0,1,-4,1,-5,-5
8,3,1,21,25280,-4,-4,12,1,0,0,-4,10,14,59000
12,3,2,24,68168,11,1,12,3,0,1,-3,2,-4,33000
7,1,2,14,13483,-4,-5,16,5,1,1,-4,4,-4,47000
8,1,1,20,12439,-4,3,11,5,1,1,-4,4,21,0
10,1,1,18,2026,-4,-5,12,3,1,1,-4,2,-4,-5
11,1,1,18,18916,1,-4,12,7,1,0,-4,5,19,62000
12,1,1,16,5281,-4,-4,12,7,1,0,-3,5,-4,0
9,1,1,18,7399,-4,-4,12,7,1,0,-4,6,-4,45000
9,1,1,16,11630,-4,-4,11,9,1,0,-4,5,-4,23000
10,1,2,19,40990,-5,-4,12,4,1,0,-4,1,-5,-5
12,2,1,22,27277,11,-4,14,2,0,1,-4,0,16,33000
12,3,2,19,48032,-4,1,12,5,0,1,-4,1,16,15750
12,3,1,20,10489,-4,1,12,5,0,1,-4,1,10,-5
12,3,1,20,27779,11,-5,13,7,0,1,-4,5,-4,70000
12,3,1,22,18491,-4,3,12,7,0,1,-4,4,15,40000
8,3,1,19,24685,-4,3,12,7,0,1,-4,4,16,40000
11,3,2,23,52017,-4,-4,16,6,0,1,-4,3,-4,48000
10,3,1,29,30794,-4,4,11,6,0,1,-4,3,16,46000
12,3,2,-5,-4,11,-5,14,4,0,1,-4,4,22,-5
9,3,1,16,4138,-4,-4,12,3,0,1,-4,2,14,-5
9,3,1,19,18097,-4,-4,12,5,0,1,-4,2,15,-2
14,3,1,29,78739,11,1,16,4,1,1,-4,2,15,-1
9,3,1,23,19254,-4,-5,12,4,0,1,-4,2,-4,-5
12,3,2,26,58575,11,2,18,2,1,1,1,1,13,-1
12,3,1,19,68032,3,2,12,3,0,1,-4,1,12,100000
13,3,2,18,76525,-4,-5,16,5,0,1,-4,4,17,-5
13,3,2,26,23404,11,-5,16,5,0,1,-4,4,15,-5
12,3,1,20,65825,11,6,12,6,0,1,-4,3,16,100000
9,3,1,16,10373,-4,-4,9,6,1,1,-4,3,14,-5
8,3,1,24,79151,-4,-5,15,6,1,1,-4,3,-5,-5
14,3,2,-5,-5,-5,-5,14,4,0,1,-4,1,-5,-5
14,3,2,26,88257,11,-5,16,4,1,1,-4,3,16,-5
10,1,1,-5,-5,-5,-5,10,5,1,1,-4,3,-5,-5
8,1,1,19,11508,11,-5,8,5,1,1,-4,3,-5,-5
10,1,1,-3,12377,11,-5,9,5,1,0,-4,5,17,-5
10,1,1,21,3428,11,-4,12,5,1,1,-4,10,13,0
9,1,1,18,33426,17,-4,12,5,1,0,-4,5,9,0
12,2,2,26,31724,11,3,12,2,0,1,0,5,-4,0
9,2,1,25,25149,11,-5,9,1,0,1,0,5,-5,-5
13,2,2,-3,62746,11,1,16,1,0,1,1,7,16,20000
8,2,1,26,25563,17,-4,12,2,0,1,-4,0,15,36000
10,2,1,19,9044,1,4,12,6,0,1,-4,2,-4,0
12,2,2,22,23937,11,-4,12,8,0,1,-4,6,14,0
11,2,2,25,14391,11,2,11,7,0,1,-4,6,16,10000
10,2,2,24,20415,11,-4,15,8,0,1,-4,6,16,-1
13,3,2,28,46696,-4,2,14,5,0,1,-4,3,18,157000
9,3,1,21,95123,-4,1,18,5,0,1,-4,3,-1,115000
13,2,2,17,738,11,-5,13,2,1,0,-4,5,-4,22000
13,3,2,18,95959,-4,-4,17,3,0,1,1,0,17,-5
9,2,2,27,59310,11,-5,16,2,1,1,-4,0,15,-5
10,3,1,27,43221,3,-4,16,5,0,1,-4,2,17,150000
10,3,2,25,65774,-4,-5,17,3,0,1,-4,3,15,-5
12,3,1,25,36155,11,-4,12,7,0,1,-4,4,16,396970
13,3,1,19,35208,-4,-5,13,7,0,1,-4,4,17,25000
10,3,1,23,47180,-4,-4,17,7,0,1,-4,4,17,0
12,3,1,23,19021,11,2,12,4,0,1,-4,3,-4,-5
11,3,2,26,40321,-4,3,12,4,0,1,-4,3,14,11261
12,3,1,26,53498,11,-5,12,6,0,1,-4,4,15,-5
12,3,2,21,65997,11,4,12,6,0,1,-4,4,23,13000
8,3,1,21,55481,-4,2,14,6,0,1,-4,4,18,396970
10,3,1,26,41794,-4,-4,12,5,0,1,-4,3,16,70000
14,3,1,24,68746,-4,2,16,5,0,1,-4,3,17,128000
10,3,1,20,28374,17,3,16,6,0,1,-4,3,17,92000
9,3,2,15,37740,17,2,16,6,0,1,-4,3,-4,-5
11,3,2,24,80272,11,2,19,5,0,1,-4,2,15,700
14,3,1,20,72327,17,-5,16,3,1,1,-4,3,16,-5
12,3,1,19,19625,-4,-4,12,5,0,1,-4,3,16,49000
8,3,2,16,29278,-4,-4,12,5,0,1,-4,3,9,7800
13,3,1,17,87760,17,-4,16,11,0,1,-4,8,-4,-5
10,3,2,22,51397,17,1,14,11,0,1,-4,8,-5,31000
10,3,1,23,61884,3,-5,16,11,0,1,-4,8,19,-5
12,3,2,25,76624,-4,2,16,3,0,1,-4,2,18,72000
13,2,2,19,72481,-4,-4,17,3,0,1,-4,0,-4,-5
14,3,2,23,91042,11,1,16,4,0,1,-4,1,19,45000
13,3,2,27,89893,11,1,16,4,0,1,-4,1,17,60000
13,3,2,29,69348,11,-5,14,5,0,1,-4,2,16,-5
11,3,1,22,94680,-4,3,18,5,0,1,-4,2,-4,-1
12,3,2,-5,11771,11,-4,12,5,1,1,-4,2,-4,36000
11,3,2,24,15933,11,-5,12,5,1,1,-4,2,-4,-5
11,3,1,21,11374,11,5,12,5,1,1,-4,2,19,17000
11,3,1,29,83170,-4,1,20,5,1,1,-4,2,17,90000
11,2,1,24,32899,11,2,12,5,0,1,-4,5,-2,-5
11,2,1,26,22233,-4,-4,10,5,0,1,-4,5,16,27000
9,2,2,16,13260,11,1,8,5,0,1,-4,5,-5,-2
11,2,1,23,10471,-4,-4,11,4,0,0,-4,4,20,0
12,2,1,30,49149,-4,-4,12,6,0,1,-4,0,20,-5
12,2,2,28,11672,11,-4,13,6,0,1,-4,5,-4,-1
12,2,1,21,34902,-4,-5,12,6,0,1,-4,5,-5,-5
11,2,1,20,40297,-4,-5,12,6,0,1,-3,5,-4,-5
12,2,2,27,39687,-4,-4,12,7,0,1,-4,4,-4,6500
11,2,2,20,63197,11,1,12,7,0,1,-4,4,-4,69000
9,2,1,24,5552,-4,3,12,7,0,1,-4,4,13,0
11,2,2,23,78241,-4,-4,15,7,0,1,-4,4,18,65000
12,3,2,-5,-5,-5,-5,12,2,0,0,0,1,-4,-5
10,2,2,18,4998,11,-5,10,4,0,1,-4,2,15,-5
9,2,2,21,23959,11,-4,12,4,0,1,-4,2,-4,40000
12,3,1,26,93142,11,2,12,4,0,1,-4,3,16,80000
10,3,1,25,76768,11,1,13,4,0,1,-4,3,14,78000
10,2,1,22,6294,11,-4,12,7,0,1,-4,11,16,0
8,2,2,20,43910,11,-4,14,5,0,1,-4,6,16,20000
9,2,1,27,19013,11,-4,12,3,0,0,-4,8,-4,12000
10,2,2,18,7921,11,-4,9,2,0,1,1,2,18,0
10,2,1,28,17477,17,2,10,1,0,1,0,3,18,1400
14,3,2,30,66314,11,1,18,5,0,1,-4,2,-4,95000
